Subject,Fp1_delta,Fp1_theta,Fp1_alpha,Fp1_beta,Fp1_gamma,Fp2_delta,Fp2_theta,Fp2_alpha,Fp2_beta,Fp2_gamma,F3_delta,F3_theta,F3_alpha,F3_beta,F3_gamma,F4_delta,F4_theta,F4_alpha,F4_beta,F4_gamma,C3_delta,C3_theta,C3_alpha,C3_beta,C3_gamma,C4_delta,C4_theta,C4_alpha,C4_beta,C4_gamma,P3_delta,P3_theta,P3_alpha,P3_beta,P3_gamma,P4_delta,P4_theta,P4_alpha,P4_beta,P4_gamma,O1_delta,O1_theta,O1_alpha,O1_beta,O1_gamma,O2_delta,O2_theta,O2_alpha,O2_beta,O2_gamma,F7_delta,F7_theta,F7_alpha,F7_beta,F7_gamma,F8_delta,F8_theta,F8_alpha,F8_beta,F8_gamma,T3_delta,T3_theta,T3_alpha,T3_beta,T3_gamma,T4_delta,T4_theta,T4_alpha,T4_beta,T4_gamma,T5_delta,T5_theta,T5_alpha,T5_beta,T5_gamma,T6_delta,T6_theta,T6_alpha,T6_beta,T6_gamma,Fz_delta,Fz_theta,Fz_alpha,Fz_beta,Fz_gamma,Cz_delta,Cz_theta,Cz_alpha,Cz_beta,Cz_gamma,Pz_delta,Pz_theta,Pz_alpha,Pz_beta,Pz_gamma
sub-001,1.208401258276633e-11,2.7848089751678582e-12,6.077974571494932e-13,3.9359958681620974e-13,4.324572190173293e-13,5.814350151176465e-12,2.2655988656061986e-12,4.990043915084069e-13,2.1649979678459207e-13,2.284166578442646e-13,2.959959908538254e-12,1.1585638603661938e-12,2.9048287433873376e-13,1.2120223312884115e-13,1.1204222475620994e-13,1.9683130000628413e-12,1.0718218946880503e-12,3.4142443343138645e-13,1.5335339706210298e-13,1.5728858881097663e-13,1.2330099553927894e-12,7.410339014603964e-13,2.161785185930496e-13,1.1112919867016636e-13,6.588581594693534e-14,1.373323352611801e-12,6.108297998984828e-13,1.8127508750413964e-13,1.1876587584537934e-13,1.1382558776343212e-13,2.2817110634826714e-12,1.5973147435154385e-12,3.069987225429595e-13,8.762216743117604e-14,5.140446557396925e-14,3.577645061890556e-12,1.5626689327868233e-12,3.0516852895088997e-13,8.70480572743503e-14,6.222262690327263e-14,4.331649283800185e-12,2.116016325943061e-12,5.414155659710153e-13,1.915478480760141e-13,1.5785129492626632e-13,6.022221902563632e-12,2.0659954741514497e-12,4.930036685881825e-13,1.421780177640294e-13,9.034161193133396e-14,3.3190269936948082e-12,1.4827861855840825e-12,2.576943116468286e-13,8.355884634719788e-14,6.706873226361974e-14,6.129231703040446e-12,2.21677557346909e-12,5.595191718144063e-13,1.7851543688007054e-13,1.6298064744928564e-13,1.5972509337338348e-12,8.761911911319045e-13,2.791344189203784e-13,1.271679086793525e-13,1.0920880422513658e-13,1.4785915935653208e-12,6.977824525073509e-13,2.2202422617127827e-13,1.1092651092772401e-13,1.1494869978996992e-13,4.162265115128688e-12,1.6541018151033016e-12,6.785191327718963e-13,2.933398070665857e-13,2.72220077364986e-13,3.2648536544508027e-12,1.1206748617198878e-12,3.511646683005867e-13,1.2162787783892336e-13,8.801268597696013e-14,2.459090716356997e-12,1.3370832399150498e-12,3.080763949720191e-13,9.179239102656606e-14,6.738811060278199e-14,2.1649766390999753e-12,1.14371762150096e-12,2.2122431814348686e-13,1.149328792602302e-13,9.584623501751856e-14,3.524594246583298e-12,2.2108634166571824e-12,3.261969407881464e-13,6.562724933873646e-14,4.375010791772538e-14
sub-002,6.016296127348943e-12,2.4228315005299927e-12,3.9397157114792495e-12,3.7223475851752505e-13,2.0235522555113042e-13,4.4824978845640774e-12,2.7814178302271195e-12,4.656930792276931e-12,2.6033989288450015e-13,1.0175474738830853e-13,2.4884128323715884e-12,1.9801944372150932e-12,3.223348439827147e-12,4.354864157200228e-13,1.9466536428952727e-13,2.2934798228589714e-12,2.5031261732816856e-12,4.274507802795788e-12,4.5155911559913227e-13,2.7938181236708414e-13,1.2640408759391491e-12,8.061063112734905e-13,1.0588721644210167e-12,2.308902471768749e-13,1.3223126528224593e-13,1.3294746660873059e-12,9.127216599355352e-13,1.2584078239320232e-12,2.2971297056618013e-13,1.3151648176545143e-13,1.7790967948854325e-12,2.476250721976672e-12,3.968490993679347e-12,2.596864367615462e-13,3.852454304204517e-14,1.3870993497024473e-12,2.0001514482717634e-12,3.3452750907728254e-12,2.2030277592283366e-13,3.4448378001870026e-14,2.3988805905378397e-12,4.219385788872724e-12,7.743939357822684e-12,2.7691838903588095e-13,3.183973885781643e-14,2.4335700504476793e-12,3.808511912429737e-12,6.773201987474954e-12,2.470653724759862e-13,3.120729720062202e-14,6.757823660103772e-12,3.3274137436985765e-12,3.965323085645413e-12,3.6681069763336763e-13,1.566031241939223e-13,3.817961525520597e-12,2.537225631947647e-12,3.3770185939831178e-12,2.6852929162978555e-13,1.224666287391576e-13,3.3474862756469366e-12,2.637770999067131e-12,3.083286068802454e-12,3.2914714655940877e-13,1.555599391810863e-13,4.739831929223103e-12,1.5867294828565794e-12,1.9409669782808696e-12,2.7205775052755636e-13,1.652014970026056e-13,2.4158547356827783e-12,4.1832162995639505e-12,6.1840521675917475e-12,3.195091919399842e-13,4.682001221326389e-14,2.2500905266321413e-12,3.68378786658417e-12,6.137935185833209e-12,2.604116311826019e-13,3.9804716007314667e-14,2.0893036564599224e-12,2.4043241564415967e-12,4.188972737220105e-12,3.273948389717361e-13,5.461538769264005e-14,1.6792796379085162e-12,1.4160242794629083e-12,1.998107187221022e-12,2.555567769562516e-13,3.755436611502799e-14,1.9650154986819615e-12,2.874629779498027e-12,4.17221692446566e-12,2.794188329464686e-13,3.0758210023814386e-14
sub-003,6.6334046553204465e-12,3.743670317323764e-12,3.9796207310970275e-12,1.0354474205572713e-13,4.3357926259636956e-14,6.6901794180247956e-12,4.050253169711409e-12,3.73020200629572e-12,1.0816718797888398e-13,3.923633633469509e-14,4.55687914595734e-12,2.7390154518338905e-12,2.905002028161097e-12,1.2826511251297238e-13,6.689642831480378e-14,4.4690950060005115e-12,2.8693916902127723e-12,2.4715735035675328e-12,1.1319828469011923e-13,4.006910329778301e-14,2.4061381253172304e-12,3.0718075474008998e-12,3.2473890178196254e-12,1.3124872904984136e-13,2.9972340345858676e-14,5.58830107470471e-12,2.6469058057107912e-12,3.951457029330397e-12,1.4779029230245426e-13,3.716704008759107e-14,5.575820795988649e-12,5.527949813958025e-12,4.931082012048577e-12,1.628312988202957e-13,2.891664185301844e-14,3.776455695293274e-12,4.230012929443315e-12,8.960744149461897e-12,1.6855940225224163e-13,2.4508044174880772e-14,9.35167229266649e-12,5.963533640771077e-12,5.642515973865676e-12,1.4322232256658274e-13,2.656106454147224e-14,1.0083248371498864e-11,5.024429214154161e-12,7.516908295418642e-12,1.716822508313447e-13,3.146750508706638e-14,6.144897924123586e-12,3.15971761233397e-12,3.5188794998685697e-12,1.1601991697891477e-13,4.645971570777345e-14,4.840646880729884e-12,3.4273728188823444e-12,3.0131290496163053e-12,1.2602139011845093e-13,4.853840739138474e-14,3.0531831831382136e-12,2.2618257186598365e-12,2.455216415852559e-12,9.232557878797777e-14,2.7178668978554833e-14,1.9352697417902695e-12,1.8717252682922105e-12,1.921583807466972e-12,9.279998379734662e-14,3.5275336269044914e-14,7.767708301844385e-12,7.185454226576577e-12,6.567774228880463e-12,1.522677585927083e-13,4.6539990175851704e-14,6.180079583655808e-12,6.918401634765265e-12,1.3620124993070453e-11,1.8507136116512907e-13,3.0539505452283936e-14,4.34776861816476e-12,4.2615714902949355e-12,3.5841247377207524e-12,9.86716063151959e-14,3.0678507002805296e-14,5.164525464625026e-12,4.347545867584627e-12,2.7348880187148377e-12,1.4319674054172476e-13,5.1587188536454035e-14,4.645472998259091e-12,6.638461276188938e-12,6.486189959482117e-12,1.4224323997275853e-13,2.83018930370163e-14
sub-004,9.39961237854346e-12,1.109368437394077e-12,3.1338009626535994e-13,3.722891187045071e-13,4.947993038072493e-13,8.922177645179671e-12,1.7958027521301347e-12,5.34582625985693e-13,3.3043938026897687e-13,3.8488385955971743e-13,5.368409414624732e-12,2.1269192447775907e-12,6.647064958351576e-13,1.2049871736405948e-12,1.6430834808114207e-12,5.776235790331429e-12,1.9974853305150336e-12,5.410015094995609e-13,4.1867371425499963e-13,3.8031988470896607e-13,4.1454837639244535e-12,1.6805195876072067e-12,3.4030800439421893e-13,3.9697736739955085e-13,4.2236674328675395e-13,2.8939968025515244e-12,1.4566951142531799e-12,2.5785701166859353e-13,1.1213974203345996e-13,9.388994590400424e-14,5.165200010567046e-12,1.451487797828737e-12,3.01665340220022e-13,9.044015761098209e-14,5.74700939142396e-14,4.909815899123962e-12,1.5243876890293794e-12,2.7253190360262354e-13,9.251617491581373e-14,7.969185254159276e-14,1.4061624746614909e-11,1.7513389015384712e-12,4.0061739398547417e-13,1.1562134118858953e-13,9.132325732533748e-14,1.1771694277425193e-11,1.7514002882833545e-12,3.424802674833724e-13,1.2247770264936225e-13,1.241951158921683e-13,1.919913558391884e-11,4.736734588151296e-12,9.413902664132984e-13,6.946596603555887e-13,9.368755949823654e-13,8.40352392330723e-12,3.4020826709023604e-12,9.386231442348911e-13,3.1834106828623485e-13,2.88892015114974e-13,9.3642514618505e-12,4.177828123917736e-12,5.914150618477665e-13,2.538531241017454e-13,2.506583170018145e-13,3.7575426814942775e-12,2.265285996082815e-12,5.561124981549905e-13,5.193242914996529e-13,4.89425733948958e-13,4.3445429686950986e-12,1.8015390371186268e-12,3.1810332960855477e-13,1.0485236913643364e-13,8.879101337329587e-14,5.638521347779058e-12,1.587032837750109e-12,2.8714338009554557e-13,1.2265616594869958e-13,1.3492995369751386e-13,5.246737129995772e-12,1.6349734741345906e-12,3.6065642244719815e-13,1.6613827189490027e-13,1.1590911482424626e-13,5.511871971866818e-12,1.197998726177188e-12,3.06186456379862e-13,1.0676797630216762e-13,3.1194712271866265e-14,4.057040164612343e-12,1.260278286202365e-12,2.4888765111910016e-13,5.04260092802745e-14,3.004843315319482e-14
sub-005,2.0994740132504356e-11,1.0222574176553111e-12,5.163060761283177e-13,4.1270871252947864e-13,4.811834373729442e-13,8.006121111342802e-13,9.479944750467308e-14,5.687516522707208e-14,1.9311388507403303e-14,1.5771849080688572e-14,9.879095722362245e-12,1.2216602961817424e-12,7.311261459879579e-13,4.339556938104096e-13,3.4068010884389575e-13,1.8933638422725572e-11,1.0506356731973161e-12,5.361940358479157e-13,2.5511418151744626e-13,1.7639506054478928e-13,1.5932796499156571e-12,5.72185468758324e-13,3.431348390232444e-13,2.2803912453939753e-13,1.8412255311181392e-13,1.7275986839404638e-12,6.39639822687741e-13,4.291586379649268e-13,1.64266629115452e-13,9.243746720999006e-14,9.109271270991449e-12,9.145719134233348e-13,4.982955936563926e-13,1.244007369827876e-13,5.364651811942688e-14,4.094801681617682e-12,6.907075542767981e-13,5.065715614086859e-13,1.2177504208069392e-13,3.267933495011672e-14,1.3759448956594104e-11,1.059753578790769e-12,7.302586082414253e-13,2.0343311631025995e-13,8.68247826656485e-14,4.461025458561307e-12,9.038560913057042e-13,8.545651403742471e-13,2.6288792156966253e-13,1.0164701338249991e-13,1.5846586130607537e-11,1.5275070599114016e-12,7.625293581333271e-13,3.286918619648796e-13,2.9054450184774344e-13,5.538460680639323e-12,4.3314292465202044e-13,2.0585343209506932e-13,9.404210472453258e-14,8.007010082606279e-14,4.278097281211003e-12,1.871080099517281e-12,6.456098346656488e-13,4.1225231264594993e-13,4.599218735986384e-13,3.6161188252970013e-12,9.177159747076687e-13,4.723025011010778e-13,1.508162527504039e-13,1.035516852152301e-13,4.8996539258768214e-12,1.5427209919309029e-12,9.762262265500012e-13,2.305087187271383e-13,1.1816028938786702e-13,3.4593201002652757e-12,9.253258830891451e-13,7.669529672888171e-13,2.2445364342216978e-13,8.506428304465966e-14,3.772331312533875e-12,7.766404801645792e-13,4.650093268397806e-13,1.5198335138922158e-13,5.1152564206389124e-14,3.988644021043937e-12,6.524437969149335e-13,3.7678944611559305e-13,1.4840744249474093e-13,3.215151101593895e-14,3.146060724765714e-12,5.113365466603328e-13,3.6579826593178366e-13,8.961546689140623e-14,2.56529246640457e-14
sub-006,2.585545769470592e-12,5.019903992807603e-13,7.00103274609423e-12,3.049990985792833e-13,1.056187440779045e-13,2.548266743537165e-12,4.924764471319152e-13,6.866744170237882e-12,2.6944273926958523e-13,6.12880789585339e-14,3.3088578290336e-12,7.969884581698503e-13,4.621586192762658e-12,6.95676016276661e-13,5.388913270122996e-13,3.204300322529858e-12,8.463481686656446e-13,4.916101356985577e-12,5.372588543894909e-13,1.8179163524374155e-13,3.2409754551137852e-12,5.000420242256639e-13,2.454273763171111e-12,5.99613003581885e-13,1.3951888131184738e-13,1.9748992561237323e-12,4.1456672949540457e-13,3.5809396620973966e-12,5.04901784414445e-13,7.548782993485979e-14,2.6811719090155658e-12,5.015672724002443e-13,1.1969782021249627e-11,4.972735851078551e-13,7.108024955967982e-14,2.832252236421534e-12,6.465869142717061e-13,1.2459141744899488e-11,4.290634137848859e-13,7.715906154294485e-14,3.779851105675841e-12,7.615119800484139e-13,1.3777853426657154e-11,4.408989124243072e-13,1.1721544893262942e-13,5.7542968008743865e-12,7.17677890832866e-13,7.926284037688968e-12,3.3746404665074517e-13,1.2557501193625496e-13,7.908864354383489e-12,1.1753066247143527e-12,6.309033605913677e-12,6.816393063507114e-13,7.832309498339289e-13,8.023031926542598e-12,9.184800143868127e-13,6.8514652224167725e-12,3.7603649624321903e-13,2.001443581748952e-13,4.250053131247384e-12,6.640476139583579e-13,2.5186318242209324e-12,6.032061503622302e-13,3.983517782432491e-13,3.907946769454348e-12,5.770247935811588e-13,2.7194534735176407e-12,3.7708650104016125e-13,1.657095542855117e-13,3.89215945854207e-12,6.584077990182047e-13,4.277310026989786e-12,5.078614394704172e-13,1.7690138984846358e-13,3.668608128005451e-12,7.611085213731609e-13,4.309811014510001e-12,4.442745266323025e-13,1.5061623704833176e-13,3.664119064428792e-12,7.486549269752585e-13,4.787334843383112e-12,3.652487778277961e-13,7.652979744569409e-14,2.89298251124442e-12,4.0974277565021886e-13,2.4467647161249145e-12,2.696321000968115e-13,4.8089765151756566e-14,2.314514230025966e-12,4.223107038338957e-13,1.3397265218969531e-11,2.845417148306302e-13,4.2151514286506715e-14
sub-007,6.937804189551108e-12,2.175573779364206e-12,4.727524847826556e-13,1.5664496994260107e-13,1.0673173060591496e-13,1.0355231725146241e-11,2.3917768632512698e-12,5.574633086488979e-13,2.760342721690422e-13,2.580527689223898e-13,5.580187324999044e-12,2.2412861086482535e-12,5.201695415169299e-13,2.731853302039342e-13,2.7180579045148455e-13,3.384106209809703e-12,1.5717500770236298e-12,4.224989115546645e-13,1.7825423416230045e-13,1.231951230843479e-13,3.1591049277877753e-12,1.729557925558841e-12,4.922620612083271e-13,1.998182638280379e-13,1.5454140981345368e-13,3.78648201839595e-12,2.1256709622763203e-12,8.193980287979398e-13,2.4337656663846296e-13,7.741997270403635e-14,5.503679998188817e-12,3.0260742144082655e-12,6.689871209378901e-13,1.3393144076456428e-13,6.160373629754367e-14,5.2947883657952595e-12,2.444278823852722e-12,7.557537262826511e-13,1.6974733210883088e-13,8.525906024280099e-14,5.660466303768401e-12,2.503271225823543e-12,5.850798328405409e-13,1.1160096691884746e-13,5.727035714983554e-14,6.738306323690243e-12,2.369226349332552e-12,5.967783335882566e-13,1.4325679399356877e-13,1.1265708497187914e-13,8.330203379186672e-12,2.2419744104493107e-12,5.382154354879969e-13,1.3819174188153303e-13,1.0025958661540379e-13,4.8719022366846535e-12,1.5230199281493016e-12,3.331307145193101e-13,8.53046856953523e-14,6.072991561365883e-14,6.947496925690143e-12,2.585384498296578e-12,6.000622730592885e-13,1.5363599742801333e-13,1.2279315934648363e-13,5.572980360100109e-12,2.0768086539954063e-12,5.997990733440372e-13,1.9792895366250871e-13,1.5313816430872176e-13,6.6299467913568e-12,2.8179977178713294e-12,6.875196773288738e-13,1.4761873848112477e-13,9.414735474982454e-14,4.764816952481126e-12,2.6407176641615526e-12,8.45255711741032e-13,2.238905565708191e-13,1.922940578697992e-13,6.991053117133419e-12,3.468527420558247e-12,6.026637221772383e-13,1.3400842832024924e-13,6.023497654360691e-14,4.8446799985362634e-12,1.7371278347566032e-12,5.917721519035421e-13,1.3394528847879658e-13,5.456020113029772e-14,6.396089053114241e-12,1.9297628254987952e-12,4.878389959849594e-13,9.142509767622921e-14,3.8544681133437553e-14
sub-008,3.201764162528654e-11,2.1464882214886367e-12,6.404137684342507e-13,3.5910145806549457e-13,2.59706380264544e-13,3.2044986443129226e-11,2.3527646329415454e-12,5.427565858488653e-13,3.084719679241145e-13,2.2644084356149526e-13,3.896093819528241e-11,3.352188266726066e-12,1.5496410388553165e-12,5.125866947014239e-13,2.814789139374265e-13,3.431338307131515e-11,3.647568836031884e-12,1.185240083528869e-12,3.8201556491363016e-13,2.4274648519428503e-13,1.7312281746832225e-11,1.4464088136800533e-12,6.103039116026037e-13,2.7455436382435283e-13,1.0672379976639556e-13,1.0983928121898408e-11,1.1631823744413191e-12,3.84673304229986e-13,2.210381240458084e-13,9.381422769386304e-14,1.7635356362145066e-11,1.4633412651863244e-12,5.418284309542883e-13,2.1235017430675451e-13,3.921861132480331e-14,2.5785384202225313e-11,1.5405169028759347e-12,6.038903349184321e-13,2.0320481347119355e-13,4.9687084357981206e-14,3.4997456531983866e-11,2.598518901125114e-12,9.493609732265121e-13,1.8227120484769625e-13,7.779243824484346e-14,4.9456914673373246e-11,2.8986115851918264e-12,1.1676398799480607e-12,2.176370516902677e-13,6.963868443854384e-14,6.242310437001223e-11,2.9242279638341304e-12,1.0582928152752008e-12,4.199901279989061e-13,4.4081025559692e-13,3.9128010910335645e-11,2.643416465961834e-12,8.70755909736507e-13,3.7147776479402404e-13,3.3544274886642016e-13,2.3447378593831546e-11,1.86817685177888e-12,4.165654951808244e-13,2.1396730363641997e-13,1.921391588253583e-13,3.172806783284099e-11,1.8006228007753466e-12,4.853022789719528e-13,2.04565054717671e-13,1.346371699896286e-13,3.062458567338395e-11,2.1943430256912143e-12,6.201207791723184e-13,1.8575511784205108e-13,7.618428488200639e-14,4.2193051310658157e-11,2.302690496986907e-12,6.763521529957558e-13,1.7879727712513703e-13,6.691358703546993e-14,4.499528374574597e-11,4.545569221432996e-12,8.924435201896369e-13,2.747912388091765e-13,6.936072205723772e-14,1.6454462274668246e-11,2.0993154132497194e-12,9.670304005354506e-13,3.794333288674106e-13,3.741677209451271e-14,2.0097211869327403e-11,1.4811490027473482e-12,8.227501057376333e-13,1.8989762153270088e-13,3.56762853448784e-14
sub-009,2.9627770687978567e-12,1.1986060737106383e-12,3.405890979531095e-12,2.511902100416805e-13,8.367160788587538e-14,1.5774018574842223e-11,2.6435084454108886e-12,3.997444724115033e-12,5.733006957275179e-13,2.638492814504551e-13,2.2871103236438197e-12,2.906986922194926e-12,3.661409448817032e-12,3.862649969064061e-13,5.985829077656556e-14,2.83801470680923e-12,2.1604075394573592e-12,2.8458638418181045e-12,5.362932912781585e-13,2.999629068381557e-13,2.3760847978633978e-12,9.961760238943891e-13,1.4770255034891705e-12,2.8844169883338736e-13,3.475531428871561e-14,8.926621055372414e-13,1.0234087574285642e-12,2.1660297987092696e-12,4.361514252311267e-13,1.5879456841119667e-13,1.544325792860886e-12,1.3447902738852527e-12,2.7082864197243397e-12,2.8095501170789943e-13,3.835517600950562e-14,2.768688035677161e-12,1.679667665823389e-12,6.043442764938488e-12,4.38093712810276e-13,1.3504005188167429e-13,3.236846388038042e-12,1.5813324760827367e-12,3.938073841232689e-12,3.492532529363575e-13,7.653073999465971e-14,2.149873212492207e-12,1.501732441103703e-12,6.51151886019658e-12,3.8560749006183947e-13,9.245659667301418e-14,2.8787159287768745e-12,1.0094749814737202e-12,3.046859686067921e-12,2.1658055624218565e-13,7.295834159570482e-14,5.847132757044097e-12,1.5858398567232333e-12,3.4027081172124692e-12,4.3604196424717913e-13,2.024281141191749e-13,2.5103480353218228e-12,1.8016858706043614e-12,3.0119441181273753e-12,2.27096233848956e-13,4.4802551951014777e-14,2.458771434078755e-12,1.370303906819029e-12,2.09877279890623e-12,1.032698807056341e-12,9.091323068748535e-13,3.044869711949668e-12,1.863709412251917e-12,3.35963641579563e-12,3.705076537845036e-13,1.0065980413637134e-13,3.5552310290066886e-12,2.1241969311062966e-12,5.217218490642263e-12,5.047699823073693e-13,1.9967875791154226e-13,2.718634284818041e-12,5.1235160806481004e-12,4.9388525847944966e-12,4.202212208633174e-13,5.59786715061963e-14,2.2657083215701585e-12,2.146317715860946e-12,2.523898880054547e-12,2.9060810487963676e-13,4.537537589155309e-14,1.5937641435169387e-12,7.741940588674253e-13,2.7144562083247796e-12,2.4463454539274564e-13,3.9211096536223287e-14
sub-010,9.862652914463235e-13,1.294033166417608e-13,2.7084698164959087e-13,8.56606192482588e-14,6.271391129904446e-14,9.059417866662422e-13,1.5008013141116555e-13,5.234076107554297e-13,9.514676151164127e-14,3.785620000477356e-14,1.0399167881927434e-12,1.6683617551514438e-13,4.0936566219764693e-13,1.151223902040147e-13,5.561762711764367e-14,1.8564086354608683e-12,2.996342159909642e-13,6.252143344693141e-13,1.8301978479314e-13,1.1925116108024554e-13,9.363603921872501e-13,2.0764307917249507e-13,3.7815355064230947e-13,1.282741394876722e-13,4.743772573964212e-14,7.962272083196401e-13,1.96909167145065e-13,3.9883798940446976e-13,3.3456989197957767e-13,4.149391915785596e-13,1.18145570889616e-12,2.1252475208533492e-13,5.934305023833338e-13,1.524372750870456e-13,2.7696475039051267e-14,9.087757925089033e-13,1.8916868250775343e-13,8.153265051817048e-13,2.4404516930691767e-13,1.303114525691263e-13,1.3443917823811058e-12,2.7691299200316225e-13,1.688145403875441e-12,2.343208582071274e-13,2.3374637226063592e-14,1.878162452782325e-12,3.614591392134183e-13,1.9120389893253806e-12,3.3375934866912275e-13,4.345369993959006e-14,1.7528707315744315e-12,2.955324048987417e-13,5.917559403949139e-13,1.8016140795110755e-13,1.1271221545697862e-13,1.330850574904415e-12,3.147535657878791e-13,7.823395157724412e-13,2.383645563938436e-13,2.0393211813160753e-13,1.7933173567393758e-12,5.138930154303332e-13,9.748078082531573e-13,2.595289819356679e-13,1.4731292707941943e-13,1.8659380270631824e-12,4.525190558295422e-13,1.2478414993654015e-12,4.599619087333434e-13,3.852535561226394e-13,1.357648958226008e-12,3.620903176003136e-13,1.6108965283502735e-12,2.4205869773521385e-13,6.692934101107592e-14,1.3834139929723916e-12,3.6711046895515276e-13,2.773695002012018e-12,4.0659301825592747e-13,8.705734928976953e-14,1.6673981413096567e-12,4.08902784369609e-13,7.105156829951559e-13,1.3479347275260979e-13,2.903103585910182e-14,2.2249161635031007e-12,4.110206624214566e-13,6.874244274120618e-13,1.3426383608848537e-13,2.342848636849079e-14,4.805216562073424e-12,3.0077567579746934e-13,6.437228517679223e-13,1.700351640986979e-13,2.1511459140870985e-14
